($million),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period,ABN,Institution Name, Cash and deposits with financial institutions , Trading securities , Investment securities , Net acceptances of customers , Total residents assets , Total securitised assets on balance sheet , Loans to non-financial businesses , Loans to financial institutions , Loans to general government , Loans to households: Housing: Owner-occupied , Loans to households: Housing: Investment , Loans to households: Credit cards , Loans to households: Other , Loans to community service organisations , Total residents loans and finance leases , Intra-group loans and finance leases , Acceptances , Intra-group deposits , Negotiable Certificates of Deposit , Total short-term borrowings , Total long-term borrowings , Deposits by non-financial businesses , Deposits by financial institutions , Deposits by general government , Deposits by households , Deposits by community service organisations , Total residents deposits ,,
30/09/2022,48848300367,Agricultural Bank of China Limited,75,0,"3,994",0,"5,951",0,"2,105",673,0,0,0,0,0,0,"2,778",0,0,0,640,"4,455",500,"1,155",0,0,0,0,"1,155",,
30/09/2022,15081596009,AMP Bank Limited,552,0,"3,877",0,"32,481","8,031",607,646,0,"14,917","6,625",0,469,0,"23,263",0,0,"6,463",498,498,225,"2,699","1,866",165,"9,209",101,"14,040",,
30/09/2022,37002950745,Arab Bank Australia Limited,60,0,257,0,"1,293",123,290,0,0,264,228,0,44,4,830,0,0,0,3,3,0,280,253,3,378,4,918,,
30/09/2022,11005357522,Australia and New Zealand Banking Group Limited,"75,067","22,282","41,236",64,"704,606","88,991","131,133","15,415",740,"174,774","89,807","4,961","11,122","1,558","429,511","18,036",69,"1,027","29,372","72,945","62,142","129,894","61,183","5,335","159,017","4,838","360,268",,
30/09/2022,11087651125,Australian Central Credit Union Ltd,159,0,"1,306",0,"12,443","3,245",30,0,0,"6,791","1,752",34,337,0,"8,943",,0,,,186,463,466,147,1,"6,969",15,"7,598",,
30/09/2022,48087649741,Australian Military Bank Ltd,43,0,219,0,"1,972",340,0,0,0,"1,072",217,10,49,0,"1,348",0,0,0,125,114,75,58,298,52,797,112,"1,316",,
30/09/2022,93087650726,Australian Mutual Bank Ltd,137,0,360,0,"2,275",488,34,0,0,900,286,7,33,1,"1,260",0,0,0,0,0,24,72,40,0,"1,414",32,"1,558",,
30/09/2022,14087822491,Australian Settlements Limited,362,0,127,0,501,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,2,476,0,0,0,478,,
30/09/2022,30087652079,Australian Unity Bank Limited,64,0,212,0,"1,618",225,37,53,0,741,288,4,7,0,"1,129",0,0,17,0,0,0,54,135,166,884,27,"1,266",,
30/09/2022,40087652060,Auswide Bank Ltd,215,0,303,0,"5,645","1,358",125,0,0,"2,926",855,1,26,0,"3,934",1,0,0,367,367,242,718,233,139,"1,972",110,"3,171",,
30/09/2022,32087652088,B&E Ltd,86,0,132,0,"1,895",247,35,0,0,901,202,3,15,0,"1,157",246,0,0,119,119,5,57,78,9,951,24,"1,119",,
30/09/2022,21087651607,Bank Australia Limited,273,428,"1,368",0,"11,446","1,650",248,22,0,"5,725","1,299",19,168,58,"7,539",0,0,0,309,309,393,528,115,4,"6,651",236,"7,534",,
30/09/2022,51064874531,"Bank of America, National Association","2,011",-133,"2,844",0,"24,426",0,"4,140","12,475",0,0,0,0,0,0,"16,614",0,0,"1,635",0,9,0,"2,860","1,634",0,0,2,"4,496",,
30/09/2022,48125314249,Bank of Baroda,173,0,0,0,825,0,651,0,0,0,0,0,0,0,651,0,0,0,0,0,0,10,64,0,4,0,78,,
30/09/2022,28110077622,Bank of China (Australia) Limited,191,171,667,0,"6,404",350,20,50,0,"3,819","1,414",2,1,0,"5,306",14,0,0,399,38,400,16,7,0,"3,309",0,"3,332",,
30/09/2022,29002979955,Bank of China Limited,"2,210",934,"3,469",0,"28,204",0,"18,047","1,838",8,0,0,0,0,0,"19,893","1,465",0,3,"3,212","5,006","4,032","10,056","4,231",288,0,0,"14,575",,
30/09/2022,74137909963,"Bank of Communications Co., Ltd.",6,0,"6,792",0,"8,759",0,"3,888",990,0,0,0,0,0,0,"4,878",0,0,0,100,"2,912","4,890",125,0,0,0,0,126,,
